BEGIN_DATE,BEGIN_TIME,END_DATE,END_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,road_closures,power_outage,total_severity
22-JAN-16,04:00:00,23-JAN-16,13:00:00,102472,612426,Heavy Snow,"MORGAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,14:00:00,23-JAN-16,11:00:00,102472,612430,Heavy Snow,"SEQUATCHIE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,16:00:00,23-JAN-16,15:00:00,102472,612434,Heavy Snow,"SEVIER, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,16:00:00,23-JAN-16,17:00:00,102472,612442,Heavy Snow,"SEVIER, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,08:00:00,23-JAN-16,20:00:00,102472,612444,Heavy Snow,"SULLIVAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,08:00:00,23-JAN-16,20:00:00,102472,612448,Heavy Snow,"SULLIVAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,08:00:00,23-JAN-16,20:00:00,102472,612450,Heavy Snow,"SULLIVAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,13:00:00,20-JAN-16,19:00:00,103234,616879,Heavy Snow,"GREENE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,12:00:00,20-JAN-16,17:00:00,103234,616888,Heavy Snow,"KNOX, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,12:00:00,20-JAN-16,17:00:00,103234,616890,Heavy Snow,"HAMBLEN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,13:00:00,20-JAN-16,18:00:00,103234,616893,Heavy Snow,"SEVIER, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,11:00:00,20-JAN-16,17:00:00,103234,616902,Heavy Snow,"HAWKINS, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,14:00:00,20-JAN-16,20:00:00,103234,616904,Heavy Snow,"SULLIVAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,10:00:00,20-JAN-16,15:00:00,103234,616914,Heavy Snow,"MORGAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,13:00:00,20-JAN-16,18:00:00,103234,616919,Heavy Snow,"ANDERSON, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
