county_state,year,population
"LAUDERDALE COUNTY, TENNESSEE",2023,24504
"LAUDERDALE COUNTY, TENNESSEE",2024,24540
"LAUDERDALE COUNTY, TENNESSEE",2025,24617
"LAWRENCE COUNTY, TENNESSEE",2016,43056
"LAWRENCE COUNTY, TENNESSEE",2017,43388
"LAWRENCE COUNTY, TENNESSEE",2018,43771
"LAWRENCE COUNTY, TENNESSEE",2019,44142
"LAWRENCE COUNTY, TENNESSEE",2020,44185
"LAWRENCE COUNTY, TENNESSEE",2021,44783
"LAWRENCE COUNTY, TENNESSEE",2022,45480
"LAWRENCE COUNTY, TENNESSEE",2023,46091
"LAWRENCE COUNTY, TENNESSEE",2024,46644
"LAWRENCE COUNTY, TENNESSEE",2025,46914
"LEWIS COUNTY, TENNESSEE",2016,11891
"LEWIS COUNTY, TENNESSEE",2017,12025
"LEWIS COUNTY, TENNESSEE",2018,12074
"LEWIS COUNTY, TENNESSEE",2019,12268
"LEWIS COUNTY, TENNESSEE",2020,12609
"LEWIS COUNTY, TENNESSEE",2021,12854
"LEWIS COUNTY, TENNESSEE",2022,12935
"LEWIS COUNTY, TENNESSEE",2023,13126
"LEWIS COUNTY, TENNESSEE",2024,13354
"LEWIS COUNTY, TENNESSEE",2025,13487
"LINCOLN COUNTY, TENNESSEE",2016,33564
"LINCOLN COUNTY, TENNESSEE",2017,33892
"LINCOLN COUNTY, TENNESSEE",2018,34189
"LINCOLN COUNTY, TENNESSEE",2019,34366
"LINCOLN COUNTY, TENNESSEE",2020,35332
"LINCOLN COUNTY, TENNESSEE",2021,35441
"LINCOLN COUNTY, TENNESSEE",2022,35984
"LINCOLN COUNTY, TENNESSEE",2023,36157
"LINCOLN COUNTY, TENNESSEE",2024,36715
"LINCOLN COUNTY, TENNESSEE",2025,36853
"LOUDON COUNTY, TENNESSEE",2016,51373
